17:05:35:199	edadb700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

17:05:35:285	edadb700	got 248 bytes
17:05:35:285	edadb700	buf: {"id":3,"jsonrpc":"2.0","result":["0x67666e018254150a690ef4eb58b990471bf471213a5e27eb681115993cbcbf7a","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0ee"]}

17:05:35:285	edadb700	parse packet: 247
17:05:35:286	edadb700	ETH: job is the same
17:05:35:286	edadb700	new buf size: 0
17:05:45:114	fdbfa740	GPU0 t=55C fan=41%
17:05:45:114	fdbfa740	em hbt: 0, fm hbt: 11, 
17:05:45:114	fdbfa740	watchdog - thread 0, hb time 364
17:05:45:114	fdbfa740	watchdog - thread 1, hb time 148
17:05:45:197	edadb700	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x14d845f", "0x000000000000000000000000000000000000000000000000000000000214d8e2"]}

17:05:45:200	edadb700	ETH: checking pool connection...
17:05:45:200	edadb700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

17:05:45:280	edadb700	got 39 bytes
17:05:45:280	edadb700	buf: {"id":6,"jsonrpc":"2.0","result":true}

17:05:45:280	edadb700	parse packet: 38
17:05:45:280	edadb700	new buf size: 0
17:05:45:361	edadb700	got 248 bytes
17:05:45:361	edadb700	buf: {"id":3,"jsonrpc":"2.0","result":["0x67666e018254150a690ef4eb58b990471bf471213a5e27eb681115993cbcbf7a","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0ee"]}

17:05:45:361	edadb700	parse packet: 247
17:05:45:361	edadb700	ETH: job is the same
17:05:45:361	edadb700	new buf size: 0
17:05:55:201	edadb700	ETH: checking pool connection...
17:05:55:201	edadb700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

17:05:55:284	edadb700	got 248 bytes
