18:38:13:441	761f2700	buf: {"id":0,"jsonrpc":"2.0","result":["0x434acbd8774ffeba699717031bb5496e16d255b3b67d274216151699b3246d5d","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a25e"]}

18:38:13:441	761f2700	parse packet: 247
18:38:13:441	761f2700	ETH: job changed
18:38:13:441	761f2700	new buf size: 0
18:38:13:446	761f2700	ETH: 05/15/17-18:38:13 - New job from eu1.ethermine.org:4444
18:38:13:446	761f2700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
18:38:13:448	761f2700	ETH - Total Speed: 21.860 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:01
18:38:13:449	761f2700	ETH: GPU0 21.860 Mh/s
18:38:21:420	761f2700	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x14d929c", "0x00000000000000000000000000000000000000000000000000000000135400b1"]}

18:38:21:423	761f2700	ETH: checking pool connection...
18:38:21:424	761f2700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

18:38:21:502	761f2700	got 39 bytes
18:38:21:502	761f2700	buf: {"id":6,"jsonrpc":"2.0","result":true}

18:38:21:502	761f2700	parse packet: 38
18:38:21:502	761f2700	new buf size: 0
18:38:21:583	761f2700	got 248 bytes
18:38:21:583	761f2700	buf: {"id":3,"jsonrpc":"2.0","result":["0x434acbd8774ffeba699717031bb5496e16d255b3b67d274216151699b3246d5d","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a25e"]}

18:38:21:583	761f2700	parse packet: 247
18:38:21:583	761f2700	ETH: job is the same
18:38:21:584	761f2700	new buf size: 0
18:38:31:425	761f2700	ETH: checking pool connection...
